symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous
BTCUSDT,1728216000000,1728230400000,1728316800000,62690.4,487.8999999999999,0.007782690810714239,62202.5,64642.0,63620.1,TIME,63620.1,TIME,63620.1,TIME,3.6209999999999994e-05,2,True,0,0.001,0.014,1.2264517188175323,0.16045840498610753,13968639218.26738,False
BTCUSDT,1728230400000,1728244800000,1728331200000,62601.4,492.9357142857142,0.007874196332441673,62108.46428571429,64573.142857142855,63349.4,TIME,63349.4,TIME,63349.4,TIME,5.798e-05,3,True,0,0.001,0.018,1.1739106782591864,0.16978695812225664,13840028767.535025,False
BTCUSDT,1728259200000,1728273600000,1728298800000,63494.5,481.2642857142855,0.007579621632019868,63013.235714285714,65419.55714285714,63013.235714285714,SL,63013.235714285714,SL,63013.235714285714,SL,-9.52e-06,1,True,0,0.001,0.012,1.0582256882110075,0.18043399046648778,13846632460.967941,False
BTCUSDT,1728302400000,1728316800000,1728327600000,63620.1,596.8357142857141,0.009381244516838453,63023.264285714286,66007.44285714286,63023.264285714286,SL,63023.264285714286,SL,63023.264285714286,SL,2.177e-05,1,True,0,0.001,0.062,1.0180645680621512,0.16208129819934025,14058316685.034012,False
BTCUSDT,1728662400000,1728676800000,1728763200000,63042.3,919.3857142857139,0.014583632168967723,62122.91428571429,66719.84285714285,62966.2,TIME,62966.2,TIME,62966.2,TIME,0.00010733,3,True,0,0.001,0.448,1.1044834278140632,0.09522957424223732,14176143953.006752,False
BTCUSDT,1728734400000,1728748800000,1728831600000,63124.9,834.9642857142852,0.013227177955359696,62289.93571428572,66464.75714285714,62289.93571428572,SL,62289.93571428572,SL,62289.93571428572,SL,2.331e-05,2,True,0,0.001,0.322,1.0758044245983323,0.09835554991030437,13992945611.518246,False
BTCUSDT,1728864000000,1728878400000,1728964800000,64280.8,658.0357142857148,0.010236893664760159,63622.764285714286,66912.94285714286,65382.2,TIME,65382.2,TIME,65382.2,TIME,0.00030000000000000003,3,True,0,0.001,0.104,1.066208072199783,0.06619782552806819,13711798201.702023,False
BTCUSDT,1728878400000,1728892800000,1728979200000,64599.5,665.7428571428572,0.010305696749090276,63933.75714285714,67262.47142857143,65638.4,TIME,65638.4,TIME,65638.4,TIME,0.00030000000000000003,3,True,0,0.001,0.108,1.0672098940096963,0.07468258404535644,13812163266.202759,False
BTCUSDT,1728892800000,1728907200000,1728993600000,64899.5,688.3714285714284,0.010606729305640697,64211.12857142857,67652.9857142857,65385.3,TIME,65385.3,TIME,65385.3,TIME,0.00030000000000000003,3,True,0,0.001,0.128,1.067539067770306,0.08745643431635397,13888663336.370548,False
BTCUSDT,1728907200000,1728921600000,1729008000000,65850.9,790.1571428571426,0.011999185172216974,65060.74285714285,69011.52857142857,65060.74285714285,SL,65060.74285714285,SL,65060.74285714285,SL,0.00030000000000000003,3,True,0,0.001,0.216,1.0866511548572055,0.10044769310211699,14065071762.996548,False
BTCUSDT,1729252800000,1729267200000,1729353600000,68710.0,849.5071428571391,0.012363660935193409,67860.49285714286,72108.02857142856,68206.9,TIME,68206.9,TIME,68206.9,TIME,0.00030000000000000003,3,True,0,0.001,0.262,1.0603146142039368,0.15673205937363743,14904391026.5382,False
BTCUSDT,1729267200000,1729281600000,1729368000000,68582.3,788.7928571428534,0.011501405714635605,67793.50714285715,71737.47142857141,68162.5,TIME,68162.5,TIME,68162.5,TIME,0.00030000000000000003,3,True,0,0.001,0.176,1.0623644893194446,0.14256987968266355,14689243552.431335,False
BTCUSDT,1730160000000,1730174400000,1730260800000,70927.4,741.2357142857145,0.010450625770657243,70186.16428571427,73892.34285714285,72249.9,TIME,72249.9,TIME,72249.9,TIME,0.00030000000000000003,3,True,0,0.001,0.176,1.0406086445362495,0.07822704221241183,14602748563.485516,False
BTCUSDT,1730203200000,1730217600000,1730296800000,72374.9,866.9071428571426,0.011978008161077152,71507.99285714285,75842.52857142857,71507.99285714285,SL,71507.99285714285,SL,71507.99285714285,SL,0.00030000000000000003,3,True,0,0.001,0.314,1.0966829134741856,0.10126141205112593,14883043394.961536,False
BTCUSDT,1730217600000,1730232000000,1730296800000,72534.6,945.2285714285712,0.013031416336873314,71589.37142857144,76315.5142857143,71589.37142857144,SL,71589.37142857144,SL,71589.37142857144,SL,0.0002,2,True,0,0.001,0.452,1.0765053219857714,0.10014667894300144,15124651377.340044,False
BTCUSDT,1731196800000,1731211200000,1731261600000,77204.0,785.9928571428557,0.010180727127387903,76418.00714285714,80347.97142857143,80347.97142857143,TP,80347.97142857143,TP,80347.97142857143,TP,0.00039716,2,True,0,0.001,0.146,1.4534569250638851,0.2745696899258081,16691512082.795227,False
BTCUSDT,1731211200000,1731225600000,1731312000000,78858.2,880.3214285714275,0.011163346723250436,77977.87857142856,82379.4857142857,81147.8,TIME,81147.8,TIME,81147.8,TIME,0.00060991,3,True,0,0.001,0.244,1.453097367275259,0.3003612930035138,16947801279.955221,False
BTCUSDT,1731225600000,1731240000000,1731272400000,79926.7,919.3214285714275,0.01150205661651773,79007.37857142856,83603.9857142857,79007.37857142856,SL,79007.37857142856,SL,79007.37857142856,SL,0.00014113,1,True,0,0.001,0.274,1.4471942451359812,0.307273470722931,17018278986.131332,False
BTCUSDT,1731240000000,1731254400000,1731276000000,79735.1,951.3999999999994,0.011932009867674329,78783.70000000001,83540.7,78783.70000000001,SL,78783.70000000001,SL,78783.70000000001,SL,0.0,0,True,0,0.001,0.336,1.4483463521099098,0.2815439261949919,16982169159.496132,False
BTCUSDT,1731254400000,1731268800000,1731276000000,79793.4,1039.885714285714,0.013032227155199728,78753.51428571428,83952.94285714284,78753.51428571428,SL,78753.51428571428,SL,78753.51428571428,SL,0.0,0,True,0,0.001,0.486,1.4284856692716035,0.2657100617996775,17025326181.996534,False
BTCUSDT,1731902400000,1731916800000,1731931200000,91795.9,1140.2357142857134,0.01242142311678096,90655.66428571429,96356.84285714285,90655.66428571429,SL,90655.66428571429,SL,90655.66428571429,SL,0.0,0,True,0,0.001,0.378,1.1408706604327798,0.3434417940285883,21737910070.39946,False
BTCUSDT,1745582400000,1745596800000,1745683200000,94999.8,1263.3642857142872,0.013298599425622866,93736.43571428572,100053.25714285715,94325.0,TIME,94325.0,TIME,94325.0,TIME,-0.00012738999999999998,3,True,0,0.001,0.428,1.1876477587260599,0.09576928356146541,19729611134.562523,False
BTCUSDT,1746187200000,1746201600000,1746255600000,97270.1,1060.585714285713,0.010903512120227212,96209.5142857143,101512.44285714286,96209.5142857143,SL,96209.5142857143,SL,96209.5142857143,SL,-0.00014642,2,True,0,0.001,0.238,1.0064837416320846,0.12179288313275949,19286694691.77629,False
BTCUSDT,1746662400000,1746676800000,1746741600000,99098.0,1169.7071428571446,0.011803539353540381,97928.29285714285,103776.82857142857,103776.82857142857,TP,103776.82857142857,TP,103776.82857142857,TP,0.00010336,2,True,0,0.001,0.394,1.1400330994540673,0.24075238014153144,16675631166.544853,False
BTCUSDT,1746676800000,1746691200000,1746741600000,99212.1,1122.8000000000009,0.011317167966407332,98089.3,103703.3,103703.3,TP,103703.3,TP,103703.3,TP,0.00010336,2,True,0,0.001,0.324,1.1543543161859067,0.24875705802241943,16715719052.950775,False
