symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous
0GUSDT,1768737600000,1768752000000,1768780800000,0.8896,0.02213571428571429,0.024882772353545742,0.8674642857142857,0.9781428571428571,0.8674642857142857,SL,0.8674642857142857,SL,0.8674642857142857,SL,-5.8e-07,1,True,0,1.0,0.064,1.0703722256326473,0.16760729754560955,68839690.87442666,False
0GUSDT,1768766400000,1768780800000,1768784400000,0.8471,0.023535714285714278,0.02778386764929085,0.8235642857142856,0.941242857142857,0.8235642857142856,SL,0.8235642857142856,SL,0.8235642857142856,SL,-0.00024607,1,True,0,1.0,0.172,1.168732601432158,0.10515329419439001,68840234.59093,False
0GUSDT,1769083200000,1769097600000,1769101200000,0.8168,0.02909285714285715,0.03561809150692599,0.7877071428571428,0.9331714285714285,0.7877071428571428,SL,0.7877071428571428,SL,0.7877071428571428,SL,-0.01147139,1,True,0,1.0,0.48,1.3308902900565316,0.01164663610457195,69923042.67064334,False
0GUSDT,1773259200000,1773273600000,1773298800000,0.5808,0.011357142857142859,0.019554309327036605,0.5694428571428571,0.6262285714285715,0.5694428571428571,SL,0.5694428571428571,SL,0.5694428571428571,SL,-0.00019119,1,True,0,1.0,0.008,1.002957181231815,0.06824871228844742,32178196.98905,False
0GUSDT,1776398400000,1776412800000,1776474000000,0.6255,0.012685714285714276,0.020280918122644726,0.6128142857142856,0.676242857142857,0.6128142857142856,SL,0.6128142857142856,SL,0.6128142857142856,SL,-0.00064456,5,True,0,1.0,0.136,1.2924988944486162,0.07696280991735538,12946042.057149999,False
1000000BOBUSDT,1768636800000,1768651200000,1768676400000,0.01975,0.00046642857142857076,0.023616636528028898,0.019283571428571428,0.021615714285714283,0.019283571428571428,SL,0.019283571428571428,SL,0.019283571428571428,SL,0.00050581,1,True,0,1.0,0.068,1.0520545146990259,0.12921669525443114,955361.2490403333,False
1000000BOBUSDT,1780142400000,1780156800000,1780243200000,0.01484,0.0004321428571428571,0.029120138621486328,0.014407857142857144,0.01656857142857143,0.01522,TIME,0.01522,TIME,0.01522,TIME,0.00141697,5,True,0,1.0,0.5,1.142832762109642,0.16483516483516492,4282385.094845333,False
1000000MOGUSDT,1744459200000,1744473600000,1744552800000,0.4851,0.02658571428571428,0.05480460582501397,0.4585142857142857,0.591442857142857,0.4585142857142857,SL,0.4585142857142857,SL,0.4585142857142857,SL,-0.00090299,5,True,0,0.1,0.388,1.178711470905127,0.08721973094170399,9765685.689517666,False
1000000MOGUSDT,1744488000000,1744502400000,1744552800000,0.4996,0.02478571428571428,0.04961111746540088,0.4748142857142857,0.5987428571428571,0.4748142857142857,SL,0.4748142857142857,SL,0.4748142857142857,SL,7.660000000000005e-06,3,True,0,0.1,0.284,1.1778654734473724,0.15171777726539082,9787274.625657,False
1000000MOGUSDT,1744502400000,1744516800000,1744552800000,0.4901,0.02445,0.04988777800448888,0.46565,0.5879,0.46565,SL,0.46565,SL,0.46565,SL,0.0001,2,True,0,0.1,0.286,1.1809142447472643,0.12376804950721976,9807221.532175,False
1000000MOGUSDT,1744531200000,1744545600000,1744552800000,0.5002,0.02478571428571428,0.04955160792825726,0.4754142857142857,0.5993428571428571,0.4754142857142857,SL,0.4754142857142857,SL,0.4754142857142857,SL,0.0,0,True,0,0.1,0.284,1.1863385094228567,0.10810810810810789,9780926.961842334,False
1000000MOGUSDT,1745611200000,1745625600000,1745676000000,0.6635,0.035085714285714296,0.052879750242222,0.6284142857142857,0.8038428571428572,0.6284142857142857,SL,0.6284142857142857,SL,0.6284142857142857,SL,0.00015694,4,True,0,0.1,0.426,1.1033960240760152,0.20155740673668943,9566343.486283334,False
1000000MOGUSDT,1748908800000,1748923200000,1749009600000,0.98,0.04800714285714286,0.04898688046647231,0.9319928571428571,1.1720285714285714,0.9748,TIME,0.9748,TIME,0.9748,TIME,0.00030000000000000003,6,True,0,0.1,0.346,1.1627938116795051,0.7706902782797254,30465974.087377332,False
1000000MOGUSDT,1748952000000,1748966400000,1748984400000,1.036,0.05323571428571429,0.05138582460011032,0.9827642857142858,1.2489428571428571,0.9827642857142858,SL,0.9827642857142858,SL,0.9827642857142858,SL,0.0001,2,True,0,0.1,0.42,1.0510314577740296,0.9026808666911497,30875309.882325333,False
1000000MOGUSDT,1751227200000,1751241600000,1751266800000,1.0571,0.03643571428571429,0.034467613551900755,1.0206642857142856,1.202842857142857,1.0206642857142856,SL,1.0206642857142856,SL,1.0206642857142856,SL,5e-05,1,True,0,0.1,0.052,1.0200614165653124,0.1745749527725302,16713977.934195668,False
1000000MOGUSDT,1751515200000,1751529600000,1751544000000,1.1013,0.04497857142857144,0.04084134334747248,1.0563214285714284,1.2812142857142856,1.0563214285714284,SL,1.0563214285714284,SL,1.0563214285714284,SL,5e-05,1,True,0,0.1,0.106,1.1618221438576974,0.12901240898369393,17620536.286055,False
1000000MOGUSDT,1751544000000,1751558400000,1751616000000,1.0479,0.049735714285714286,0.04746227148173899,0.9981642857142857,1.2468428571428571,0.9981642857142857,SL,0.9981642857142857,SL,0.9981642857142857,SL,0.0002,4,True,0,0.1,0.264,1.1876889130938992,0.011291256514186498,17501598.876153998,False
1000000MOGUSDT,1752192000000,1752206400000,1752292800000,1.5618,0.0787642857142857,0.050431736274994046,1.4830357142857145,1.8768571428571428,1.7047,TIME,1.7047,TIME,1.7047,TIME,0.00032006,6,True,0,0.1,0.434,1.0029254573375923,0.3923282783229258,17820097.52069767,False
1000000MOGUSDT,1753632000000,1753646400000,1753714800000,1.6065,0.058042857142857174,0.03613000755857901,1.548457142857143,1.8386714285714287,1.548457142857143,SL,1.548457142857143,SL,1.548457142857143,SL,0.00038276000000000006,5,True,0,0.1,0.076,1.0063103636365491,0.8551142923112445,27305901.197609335,False
1000000MOGUSDT,1754654400000,1754668800000,1754737200000,1.3037,0.04995714285714291,0.038319508212888626,1.2537428571428573,1.5035285714285718,1.5035285714285718,TP,1.5035285714285718,TP,1.5035285714285718,TP,0.0002,4,True,0,0.1,0.138,1.0098995605047068,0.16878809609178935,28989365.843918,False
1000000MOGUSDT,1754668800000,1754683200000,1754701200000,1.3987,0.056135714285714323,0.04013420625274492,1.3425642857142857,1.6232428571428574,1.3425642857142857,SL,1.3425642857142857,SL,1.3425642857142857,SL,0.0001,2,True,0,0.1,0.174,1.0714550221983632,0.16938383078337949,29042773.386807002,False
1000000MOGUSDT,1754712000000,1754726400000,1754812800000,1.4472,0.06292142857142857,0.04347804627655374,1.3842785714285715,1.6988857142857143,1.4659,TIME,1.4659,TIME,1.4659,TIME,0.0007696,5,True,0,0.1,0.27,1.171905253896934,0.12711270348157955,28800190.471116666,False
1000000MOGUSDT,1754726400000,1754740800000,1754827200000,1.4666,0.06567142857142856,0.044778009390037204,1.4009285714285713,1.729285714285714,1.4281,TIME,1.4281,TIME,1.4281,TIME,0.0008745599999999999,6,True,0,0.1,0.304,1.1769525534572554,0.1131431173167401,28856512.750539005,False
1000000MOGUSDT,1754755200000,1754769600000,1754784000000,1.5953,0.07268571428571426,0.04556241101091598,1.5226142857142857,1.886042857142857,1.5226142857142857,SL,1.5226142857142857,SL,1.5226142857142857,SL,0.0,0,True,0,0.1,0.326,1.1843889207683276,0.1718566392479437,28792921.57554067,False
1000000MOGUSDT,1754769600000,1754784000000,1754816400000,1.5267,0.07549285714285713,0.0494483900850574,1.451207142857143,1.8286714285714285,1.451207142857143,SL,1.451207142857143,SL,1.451207142857143,SL,0.00033723,3,True,0,0.1,0.46,1.2539675710792801,0.0476974812984694,28582022.365466338,False
1000000MOGUSDT,1759377600000,1759392000000,1759417200000,0.8523,0.03347142857142859,0.03927188615678586,0.8188285714285714,0.9861857142857143,0.8188285714285714,SL,0.8188285714285714,SL,0.8188285714285714,SL,0.00018869999999999998,2,True,0,0.1,0.464,1.173184351254941,0.015481719661784021,8381708.439555667,False
1000000MOGUSDT,1768118400000,1768132800000,1768147200000,0.3383,0.010699999999999996,0.03162873189476795,0.3276,0.3811,0.3276,SL,0.3276,SL,0.3276,SL,5e-05,1,True,0,0.1,0.214,1.168507440889496,0.20750000000000002,8052762.285003668,False
1000000MOGUSDT,1778284800000,1778299200000,1778346000000,0.1631,0.004507142857142847,0.027634229657528184,0.15859285714285715,0.1811285714285714,0.15859285714285715,SL,0.15859285714285715,SL,0.15859285714285715,SL,0.00015000000000000001,3,True,0,0.1,0.484,1.0414091494031867,0.21791044776119395,2853337.6295629996,False
1000000MOGUSDT,1778385600000,1778400000000,1778432400000,0.1637,0.0035642857142857104,0.021773278645606048,0.1601357142857143,0.17795714285714284,0.17795714285714284,TP,0.17795714285714284,TP,0.17795714285714284,TP,0.0001751,2,True,0,0.1,0.102,1.0429341250975304,0.23453996983408754,2849608.326554667,False
1000000MOGUSDT,1778400000000,1778414400000,1778500800000,0.1677,0.0036714285714285677,0.021892835846324198,0.1640285714285714,0.18238571428571426,0.1689,TIME,0.1689,TIME,0.1689,TIME,0.0004450900000000001,6,True,0,0.1,0.104,1.0637722096642321,0.24758364312267656,2857059.083194,False
1000000MOGUSDT,1778414400000,1778428800000,1778446800000,0.1742,0.0041214285714285676,0.02365917664425125,0.1700785714285714,0.19068571428571426,0.1700785714285714,SL,0.1700785714285714,SL,0.1700785714285714,SL,0.00011999,1,True,0,0.1,0.184,1.1044896307967391,0.2820324005891015,2873670.7438553334,False
1000000MOGUSDT,1778428800000,1778443200000,1778446800000,0.1739,0.004585714285714281,0.02636983488047315,0.16931428571428572,0.19224285714285713,0.16931428571428572,SL,0.16931428571428572,SL,0.16931428571428572,SL,0.00011999,1,True,0,0.1,0.398,1.0829919808217519,0.2597684515195371,2942609.159317666,False
1000BONKUSDT,1728259200000,1728273600000,1728295200000,0.023275,0.0007535714285714286,0.03237686051864355,0.02252142857142857,0.026289285714285716,0.02252142857142857,SL,0.02252142857142857,SL,0.02252142857142857,SL,5e-05,1,True,0,1.0,0.374,1.1278375633349689,0.4598883522549082,176880803.86566323,False
1000BONKUSDT,1729468800000,1729483200000,1729504800000,0.024368,0.0006722142857142859,0.027585944095300633,0.023695785714285714,0.027056857142857143,0.023695785714285714,SL,0.023695785714285714,SL,0.023695785714285714,SL,5e-05,1,True,0,1.0,0.172,1.0832923287322247,0.36842991913746603,224428897.43445724,False
1000BONKUSDT,1737144000000,1737158400000,1737180000000,0.033269,0.0012447857142857141,0.037415783891481987,0.03202421428571429,0.038248142857142856,0.03202421428571429,SL,0.03202421428571429,SL,0.03202421428571429,SL,5e-05,1,True,0,1.0,0.31,1.1522656062927723,0.0703278319338545,215562681.96471858,False
