symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous,fund_abs90
AGLDUSDT,1728216000000,1728230400000,1728316800000,0.94,0.0209785714285714,0.0223176291793313,0.9190214285714284,1.0239142857142858,0.9646,TIME,0.9646,TIME,0.9646,TIME,0.0002,2,True,0,1.0,0.164,1.1037132972575123,0.3640319071791154,4538395.28205,False,0.00013106266666666668
AGLDUSDT,1729411200000,1729425600000,1729501200000,1.262,0.0291642857142857,0.0231095766357256,1.2328357142857145,1.378657142857143,1.2328357142857145,SL,1.2328357142857145,SL,1.2328357142857145,SL,0.00027349,3,True,0,1.0,0.204,1.1828059033239893,0.4063057040998217,6176375.365376666,False,0.00013263485185185182
AGLDUSDT,1729425600000,1729440000000,1729494000000,1.2836,0.0309928571428571,0.0241452610960245,1.2526071428571428,1.4075714285714287,1.2526071428571428,SL,1.2526071428571428,SL,1.2526071428571428,SL,0.0001,1,True,0,1.0,0.262,1.1481112283113954,0.4466358616026147,6269941.406656667,False,0.00013263485185185182
AGLDUSDT,1729440000000,1729454400000,1729494000000,1.2862,0.0301214285714286,0.0234189306262079,1.2560785714285714,1.4066857142857143,1.2560785714285714,SL,1.2560785714285714,SL,1.2560785714285714,SL,0.0001,1,True,0,1.0,0.216,1.1623821236757284,0.431178368754868,6314578.427823333,False,0.00013253666666666666
AGLDUSDT,1752984000000,1752998400000,1753084800000,0.8371,0.0249285714285714,0.0297796815536631,0.8121714285714285,0.9368142857142856,0.8967,TIME,0.8967,TIME,0.8967,TIME,0.0003,3,True,0,1.0,0.414,1.0053675773933677,0.115702479338843,5837099.841413334,False,0.00014958325925925925
AGLDUSDT,1752998400000,1753012800000,1753099200000,0.8454,0.0243285714285714,0.028777586265166,0.8210714285714287,0.9427142857142856,0.9056,TIME,0.9056,TIME,0.9056,TIME,0.0003,3,True,0,1.0,0.364,1.0025380149559204,0.1318784308475029,5813165.23559,False,0.00014984433333333334
AGLDUSDT,1753012800000,1753027200000,1753052400000,0.8526,0.0239499999999999,0.0280905465634529,0.82865,0.9484,0.82865,SL,0.82865,SL,0.82865,SL,0.0,0,True,0,1.0,0.344,1.0060138119383395,0.1667578659370725,5824057.983256666,False,0.00014984433333333334
AGLDUSDT,1753027200000,1753041600000,1753052400000,0.8543,0.0234999999999999,0.0275079012056654,0.8308,0.9483,0.8308,SL,0.8308,SL,0.8308,SL,0.0,0,True,0,1.0,0.316,1.0022492334078974,0.1896671772733602,5799779.668636667,False,0.00014997214814814816
AGLDUSDT,1753056000000,1753070400000,1753149600000,0.9,0.0260071428571428,0.0288968253968254,0.8739928571428571,1.0040285714285715,0.8739928571428571,SL,0.8739928571428571,SL,0.8739928571428571,SL,0.0003,3,True,0,1.0,0.376,1.098056894675308,0.2419265801821695,5896707.86552,False,0.00014997214814814816
AGLDUSDT,1753084800000,1753099200000,1753117200000,0.9056,0.0246214285714285,0.0271879732458354,0.8809785714285714,1.0040857142857142,0.8809785714285714,SL,0.8809785714285714,SL,0.8809785714285714,SL,0.0001,1,True,0,1.0,0.312,1.083340357583921,0.2590378197997776,5996528.903766668,False,0.00015022614814814815
AGLDUSDT,1753632000000,1753646400000,1753711200000,0.7955,0.0150714285714285,0.0189458561551584,0.7804285714285715,0.8557857142857143,0.7804285714285715,SL,0.7804285714285715,SL,0.7804285714285715,SL,0.0002,2,True,0,1.0,0.062,1.0419584297199975,0.2156503133119365,6356417.751226665,False,0.00015223385185185182
AGLDUSDT,1753675200000,1753689600000,1753711200000,0.7996,0.0123928571428571,0.0154988208389909,0.7872071428571429,0.8491714285714285,0.7872071428571429,SL,0.7872071428571429,SL,0.7872071428571429,SL,0.0,0,True,0,1.0,0.004,1.0109323162342287,0.1874350215357194,6369699.512496665,False,0.00015270503703703703
AGLDUSDT,1754726400000,1754740800000,1754812800000,0.755,0.0138428571428571,0.0183349101229895,0.7411571428571428,0.8103714285714285,0.7411571428571428,SL,0.7411571428571428,SL,0.7411571428571428,SL,0.0002,2,True,0,1.0,0.058,1.0117242664863637,0.0215155615696887,6248196.853083334,False,0.00011461344444444445
AGLDUSDT,1754740800000,1754755200000,1754812800000,0.7525,0.0139071428571428,0.0184812529663028,0.738592857142857,0.8081285714285714,0.738592857142857,SL,0.738592857142857,SL,0.738592857142857,SL,0.0002,2,True,0,1.0,0.064,1.038101209758783,0.0222705051602389,6230317.027583334,False,0.00011461344444444445
AGLDUSDT,1756425600000,1756440000000,1756443600000,0.759,0.0177714285714285,0.0234142668925277,0.7412285714285715,0.8300857142857143,0.7412285714285715,SL,0.7412285714285715,SL,0.7412285714285715,SL,0.0,0,True,0,1.0,0.31,1.0911372592772706,0.0476256212037546,4140228.041373333,False,0.00011250066666666668
AGLDUSDT,1758211200000,1758225600000,1758254400000,0.6926,0.0107571428571428,0.0155315374778268,0.6818428571428572,0.7356285714285714,0.6818428571428572,SL,0.6818428571428572,SL,0.6818428571428572,SL,0.0001,1,True,0,1.0,0.052,1.0613973966675212,0.0266824785057813,4467032.297043334,False,8.601955555555556e-05
AGLDUSDT,1769299200000,1769313600000,1769353200000,0.3096,0.0086,0.0277777777777778,0.301,0.344,0.344,TP,0.344,TP,0.344,TP,-0.00037653,1,True,0,1.0,0.41,1.107903018097774,0.1856814701378253,3369657.620433333,False,9.608533333333333e-05
AGLDUSDT,1775736000000,1775750400000,1775808000000,0.2594,0.0069142857142857,0.0266549179425047,0.2524857142857143,0.2870571428571429,0.2524857142857143,SL,0.2524857142857143,SL,0.2524857142857143,SL,0.00015734,2,True,0,1.0,0.35,1.148974296028184,0.016065830721003,3350441.8576300004,False,0.0003487485925925925
AGLDUSDT,1775750400000,1775764800000,1775786400000,0.2607,0.0069,0.0264672036823935,0.2537999999999999,0.2883,0.2537999999999999,SL,0.2537999999999999,SL,0.2537999999999999,SL,9.548e-05,1,True,0,1.0,0.342,1.153165898128945,0.0503626107977437,3340528.3711466664,False,0.0003487485925925925
AGLDUSDT,1775865600000,1775880000000,1775959200000,0.2531,0.0063857142857142,0.0252300050798668,0.2467142857142857,0.2786428571428571,0.2467142857142857,SL,0.2467142857142857,SL,0.2467142857142857,SL,9.287e-05,3,True,0,1.0,0.314,1.1333373968565423,0.0581103678929766,3215381.5014833333,False,0.00034855233333333334
AGLDUSDT,1776816000000,1776830400000,1776891600000,0.2782,0.0066571428571428,0.023929341686351,0.2715428571428571,0.3048285714285714,0.2715428571428571,SL,0.2715428571428571,SL,0.2715428571428571,SL,0.0002,2,True,0,1.0,0.294,1.0977840996819406,0.2038961038961038,2498367.8486966672,False,0.0003429588888888889
AGLDUSDT,1778184000000,1778198400000,1778284800000,0.2612,0.0061428571428571,0.0235178297965433,0.2550571428571428,0.2857714285714285,0.2709,TIME,0.2709,TIME,0.2709,TIME,0.00033864,4,True,0,1.0,0.394,1.0107465942646532,0.0427316293929711,1920538.7357066665,False,0.0003300589259259259
AGLDUSDT,1778256000000,1778270400000,1778346000000,0.2701,0.0065357142857142,0.0241973872110858,0.2635642857142857,0.2962428571428571,0.2635642857142857,SL,0.2635642857142857,SL,0.2635642857142857,SL,0.0003,3,True,0,1.0,0.462,1.050042037567538,0.0655090765588002,1883175.35167,False,0.0003300264074074074
AGLDUSDT,1778284800000,1778299200000,1778346000000,0.2698,0.0062214285714285,0.0230594090860955,0.2635785714285714,0.2946857142857143,0.2635785714285714,SL,0.2635785714285714,SL,0.2635785714285714,SL,0.0002,2,True,0,1.0,0.348,1.0462333031498474,0.0757575757575756,1851660.1315766664,False,0.00033002640740740737
AGLDUSDT,1778428800000,1778443200000,1778446800000,0.2751,0.0048928571428571,0.0177857402502985,0.2702071428571428,0.2946714285714286,0.2702071428571428,SL,0.2702071428571428,SL,0.2702071428571428,SL,0.0,0,True,0,1.0,0.04,1.1022228051612353,0.0675465838509317,1798203.1412666668,False,0.00032997696296296295
AGLDUSDT,1778616000000,1778630400000,1778644800000,0.2752,0.0067142857142857,0.0243978405315614,0.2684857142857142,0.3020571428571428,0.2684857142857142,SL,0.2684857142857142,SL,0.2684857142857142,SL,0.0001,1,True,0,1.0,0.474,1.0568266207083057,0.1452351227632125,1825446.5195700005,False,0.0003310192222222222
