symbol,sig_ts,ent_ts,ex_ts,entry,atr,stop_pct,sl,tp,px_pess,exit_pess,px_opt,exit_opt,px_4h,exit_4h,fund_sum,fund_n,fund_ok,gaps_1h,step_size,atr_rank,volratio,mom180,qvol_30d,ambiguous,fund_abs90,gross_pess,net_pess,R_pess,Rgross_pess,gross_opt,net_opt,R_opt,Rgross_opt,gross_4h,net_4h,R_4h,Rgross_4h,sig_date,hold_h
0GUSDT,1768737600000,1768752000000,1768780800000,0.8896,0.0221357142857142,0.0248827723535457,0.8674642857142857,0.9781428571428572,0.8674642857142857,SL,0.8674642857142857,SL,0.8674642857142857,SL,-5.8e-07,1,True,0,1.0,0.064,1.0703722256326471,0.1676072975456095,68839690.87442666,False,0.0013085494074074,-0.024882772353545746,-0.026882192353545747,-1.0803535864730578,-1.0000000000000018,-0.024882772353545746,-0.026882192353545747,-1.0803535864730578,-1.0000000000000018,-0.024882772353545746,-0.026882192353545747,-1.0803535864730578,-1.0000000000000018,2026-01-18,8.0
0GUSDT,1768766400000,1768780800000,1768784400000,0.8471,0.0235357142857142,0.0277838676492908,0.8235642857142856,0.941242857142857,0.8235642857142856,SL,0.8235642857142856,SL,0.8235642857142856,SL,-0.00024607,1,True,0,1.0,0.172,1.168732601432158,0.10515329419439,68840234.59093,False,0.0013082582592592,-0.02778386764929086,-0.02953779764929086,-1.0631276401881662,-1.0000000000000022,-0.02778386764929086,-0.02953779764929086,-1.0631276401881662,-1.0000000000000022,-0.02778386764929086,-0.02953779764929086,-1.0631276401881662,-1.0000000000000022,2026-01-18,1.0
0GUSDT,1769083200000,1769097600000,1769101200000,0.8168,0.0290928571428571,0.0356180915069259,0.7877071428571428,0.9331714285714284,0.7877071428571428,SL,0.7877071428571428,SL,0.7877071428571428,SL,-0.01147139,1,True,0,1.0,0.48,1.3308902900565316,0.0116466361045719,69923042.67064334,False,0.0012612809259259,-0.035618091506925964,-0.026146701506925968,-0.7340848540928075,-1.0000000000000018,-0.035618091506925964,-0.026146701506925968,-0.7340848540928075,-1.0000000000000018,-0.035618091506925964,-0.026146701506925968,-0.7340848540928075,-1.0000000000000018,2026-01-22,1.0
0GUSDT,1773259200000,1773273600000,1773298800000,0.5808,0.0113571428571428,0.0195543093270366,0.5694428571428571,0.6262285714285715,0.5694428571428571,SL,0.5694428571428571,SL,0.5694428571428571,SL,-0.00019119,1,True,0,1.0,0.008,1.002957181231815,0.0682487122884474,32178196.98905,False,0.0006453328888888,-0.019554309327036612,-0.021363119327036613,-1.0925018608301893,-1.0000000000000004,-0.019554309327036612,-0.021363119327036613,-1.0925018608301893,-1.0000000000000004,-0.019554309327036612,-0.021363119327036613,-1.0925018608301893,-1.0000000000000004,2026-03-11,7.0
0GUSDT,1776398400000,1776412800000,1776474000000,0.6255,0.0126857142857142,0.0202809181226447,0.6128142857142856,0.676242857142857,0.6128142857142856,SL,0.6128142857142856,SL,0.6128142857142856,SL,-0.00064456,5,True,0,1.0,0.136,1.2924988944486162,0.0769628099173553,12946042.05715,False,0.0004446667407407,-0.020280918122644764,-0.021636358122644767,-1.0668332662162197,-1.0000000000000033,-0.020280918122644764,-0.021636358122644767,-1.0668332662162197,-1.0000000000000033,-0.020280918122644764,-0.021636358122644767,-1.0668332662162197,-1.0000000000000033,2026-04-17,17.0
1000000BOBUSDT,1768636800000,1768651200000,1768676400000,0.01975,0.0004664285714285,0.0236166365280288,0.0192835714285714,0.0216157142857142,0.0192835714285714,SL,0.0192835714285714,SL,0.0192835714285714,SL,0.00050581,1,True,0,1.0,0.068,1.052054514699026,0.1292166952544311,955361.2490403332,False,0.000389017037037,-0.023616636528030366,-0.026122446528030367,-1.1061035934150745,-1.0000000000000662,-0.023616636528030366,-0.026122446528030367,-1.1061035934150745,-1.0000000000000662,-0.023616636528030366,-0.026122446528030367,-1.1061035934150745,-1.0000000000000662,2026-01-17,7.0
1000000BOBUSDT,1780142400000,1780156800000,1780243200000,0.01484,0.0004321428571428,0.0291201386214863,0.0144078571428571,0.0165685714285714,0.01522,TIME,0.01522,TIME,0.01522,TIME,0.00141697,5,True,0,1.0,0.5,1.142832762109642,0.1648351648351649,4282385.094845333,False,0.0004227214074074,0.025606469002695365,0.022189499002695363,0.7619983988099163,0.8793388429752057,0.025606469002695365,0.022189499002695363,0.7619983988099163,0.8793388429752057,0.025606469002695365,0.022189499002695363,0.7619983988099163,0.8793388429752057,2026-05-30,24.0
1000000MOGUSDT,1744459200000,1744473600000,1744552800000,0.4851,0.0265857142857142,0.0548046058250139,0.4585142857142857,0.591442857142857,0.4585142857142857,SL,0.4585142857142857,SL,0.4585142857142857,SL,-0.00090299,5,True,0,0.1,0.388,1.178711470905127,0.0872197309417039,9765685.689517666,False,6.291307407407408e-05,-0.05480460582501401,-0.05590161582501401,-1.0200167482912434,-1.000000000000002,-0.05480460582501401,-0.05590161582501401,-1.0200167482912434,-1.000000000000002,-0.05480460582501401,-0.05590161582501401,-1.0200167482912434,-1.000000000000002,2025-04-12,22.0
1000000MOGUSDT,1744488000000,1744502400000,1744552800000,0.4996,0.0247857142857142,0.0496111174654008,0.4748142857142857,0.5987428571428571,0.4748142857142857,SL,0.4748142857142857,SL,0.4748142857142857,SL,7.660000000000005e-06,3,True,0,0.1,0.284,1.1778654734473724,0.1517177772653908,9787274.625657,False,6.596688888888888e-05,-0.04961111746540092,-0.051618777465400924,-1.0404679455446713,-1.0000000000000024,-0.04961111746540092,-0.051618777465400924,-1.0404679455446713,-1.0000000000000024,-0.04961111746540092,-0.051618777465400924,-1.0404679455446713,-1.0000000000000024,2025-04-12,14.0
1000000MOGUSDT,1744502400000,1744516800000,1744552800000,0.4901,0.02445,0.0498877780044888,0.46565,0.5879,0.46565,SL,0.46565,SL,0.46565,SL,0.0001,2,True,0,0.1,0.286,1.1809142447472645,0.1237680495072197,9807221.532175,False,6.75264074074074e-05,-0.04988777800448885,-0.05198777800448885,-1.0420944785276085,-1.0000000000000009,-0.04988777800448885,-0.05198777800448885,-1.0420944785276085,-1.0000000000000009,-0.04988777800448885,-0.05198777800448885,-1.0420944785276085,-1.0000000000000009,2025-04-13,10.0
1000000MOGUSDT,1744531200000,1744545600000,1744552800000,0.5002,0.0247857142857142,0.0495516079282572,0.4754142857142857,0.5993428571428571,0.4754142857142857,SL,0.4754142857142857,SL,0.4754142857142857,SL,0.0,0,True,0,0.1,0.284,1.186338509422857,0.1081081081081078,9780926.961842334,False,6.768322222222223e-05,-0.0495516079282573,-0.051551607928257304,-1.0403619596541809,-1.000000000000002,-0.0495516079282573,-0.051551607928257304,-1.0403619596541809,-1.000000000000002,-0.0495516079282573,-0.051551607928257304,-1.0403619596541809,-1.000000000000002,2025-04-13,2.0
1000000MOGUSDT,1745611200000,1745625600000,1745676000000,0.6635,0.0350857142857142,0.052879750242222,0.6284142857142857,0.8038428571428572,0.6284142857142857,SL,0.6284142857142857,SL,0.6284142857142857,SL,0.00015694,4,True,0,0.1,0.426,1.1033960240760152,0.2015574067366894,9566343.486283334,False,7.522733333333334e-05,-0.05287975024222202,-0.055036690242222026,-1.0407895269951144,-1.0000000000000004,-0.05287975024222202,-0.055036690242222026,-1.0407895269951144,-1.0000000000000004,-0.05287975024222202,-0.055036690242222026,-1.0407895269951144,-1.0000000000000004,2025-04-25,14.0
1000000MOGUSDT,1748908800000,1748923200000,1749009600000,0.98,0.0480071428571428,0.0489868804664723,0.9319928571428572,1.1720285714285714,0.9748,TIME,0.9748,TIME,0.9748,TIME,0.0003,6,True,0,0.1,0.346,1.1627938116795051,0.7706902782797254,30465974.08737733,False,6.262088888888888e-05,-0.0053061224489795444,-0.007606122448979544,-0.15526856122600707,-0.10831721470019245,-0.0053061224489795444,-0.007606122448979544,-0.15526856122600707,-0.10831721470019245,-0.0053061224489795444,-0.007606122448979544,-0.15526856122600707,-0.10831721470019245,2025-06-03,24.0
